Name,State,Expected Price,Actual Price,Price Residual
Coffee Mill,Minnesota,54.825370738686374,55.0,0.17462926131362622
Aspen Mountain,Colorado,264.0000000000007,264.0,-6.821210263296962e-13
Swiss Valley,Michigan,53.39775741596202,53.0,-0.39775741596201897
Wachusett Mountain,Massachusetts,107.41365142820013,107.0,-0.4136514282001258
Brantling,New York,34.51803345353944,34.0,-0.518033453539438
Cloudmont,Alabama,40.656920711349564,40.0,-0.6569207113495636
Liberty Mountain,Pennsylvania,84.66127400691968,84.0,-0.6612740069196832
Mount Sunapee,New Hampshire,119.67826165114897,119.0,-0.6782616511489721
Alpine Valley (Ohio),Ohio,59.74571861390565,59.0,-0.7457186139056518
Donner Ski Ranch,California,99.8330341515225,99.0,-0.8330341515224973
Pine Knob,Michigan,69.99315791337591,69.0,-0.9931579133759101
Stratton,Vermont,198.7824401951322,197.78,-1.002440195132209
Timberline Summit Pass,Oregon,57.077257963903186,56.0,-1.077257963903186
Bretton Woods,New Hampshire,130.07960651719952,129.0,-1.0796065171995224
Campgaw Mountain,New Jersey,66.1496250415435,65.0,-1.1496250415435014
Bottineau Winter Park,North Dakota,46.36638856746937,45.0,-1.3663885674693717
McCauley Mountain,New York,41.62089813408792,40.0,-1.6208981340879234
Tyrol Basin,Wisconsin,61.900288346151996,60.0,-1.9002883461519957
Cannonsburg,Michigan,56.91883340214402,55.0,-1.918833402144017
Snow King,Wyoming,107.15055726790709,105.0,-2.1505572679070895
Hogadon Ski Area,Wyoming,62.36656314638216,60.0,-2.3665631463821626
Meadowlark Ski Lodge,Wyoming,64.50649161904063,62.0,-2.506491619040631
Howelsen Hill,Colorado,51.66292709582804,49.0,-2.6629270958280387
Breckenridge,Colorado,301.73919702485875,299.0,-2.739197024858754
White Pine,Wyoming,67.77063452883431,65.0,-2.7706345288343073
Hanson Hills,Michigan,32.923233793889636,30.0,-2.9232337938896364
Winterplace,West Virginia,88.1710973009273,85.0,-3.1710973009273005
Hoodoo Ski Area,Oregon,88.20259963826831,85.0,-3.2025996382683104
Massanutten,Virginia,98.25143539369208,95.0,-3.251435393692077
